list_number,list_description_en,list_description_uk,code,description_en,description_uk,notes
5,Product identifier type,Тип ідентифікатора продукту,06,DOI,DOI,"Digital Object Identifier (variable length and character set, beginning ‘10.’ and without https://doi.org/ or the older http://dx.doi.org/)"
5,Product identifier type,Тип ідентифікатора продукту,13,LCCN,LCCN,"Library of Congress Control Number in normalized form (up to 12 characters, alphanumeric)"
5,Product identifier type,Тип ідентифікатора продукту,14,GTIN-14,GTIN-14,"GS1 Global Trade Item Number (14 digits, without spaces or hyphens)"
5,Product identifier type,Тип ідентифікатора продукту,15,ISBN-13,ISBN-13,"International Standard Book Number, from 2007 (13 digits starting 978 or 9791–9799, without spaces or hyphens)"
5,Product identifier type,Тип ідентифікатора продукту,17,Legal deposit number,,The number assigned to a publication as part of a national legal deposit process
5,Product identifier type,Тип ідентифікатора продукту,22,URN,URN,"Uniform Resource Name: note that in trade applications an ISBN must be sent as a GTIN-13 and, where required, as an ISBN-13 – it should not be sent as a URN"
5,Product identifier type,Тип ідентифікатора продукту,23,OCLC number,Номер OCLC,A unique number assigned to a bibliographic item by OCLC
5,Product identifier type,Тип ідентифікатора продукту,24,Co-publisher’s ISBN-13,,"An ISBN-13 assigned by a co-publisher. The ‘main’ ISBN sent with <ProductIDType> codes 03 and/or 15 should always be the ISBN that is used for ordering from the supplier identified in <SupplyDetail>. However, ISBN rules allow a co-published title to carry more than one ISBN. The co-publisher should be identified in an instance of the <Publisher> composite, with the applicable <PublishingRole> code"
5,Product identifier type,Тип ідентифікатора продукту,25,ISMN-13,ISMN-13,"International Standard Music Number, from 2008 (13-digit number starting 9790, without spaces or hyphens)"
5,Product identifier type,Тип ідентифікатора продукту,26,ISBN-A,ISBN-A,"Actionable ISBN, in fact a special DOI incorporating the ISBN-13 within the DOI syntax. Begins ‘10.978.’ or ‘10.979.’ and includes a / character between the registrant element (publisher prefix) and publication element of the ISBN, eg 10.978.000/1234567. Note the ISBN-A should always be accompanied by the ISBN itself, using <ProductIDType> codes 03 and/or 15"
5,Product identifier type,Тип ідентифікатора продукту,27,JP e-code,Японський e-код,"E-publication identifier controlled by JPOIID’s Committee for Research and Management of Electronic Publishing Codes. 20 alphanumeric characters, without spaces, beginning with the ISBN ‘registrant element’"
5,Product identifier type,Тип ідентифікатора продукту,28,OLCC number,Номер OLCC,Unique number assigned by the Chinese Online Library Cataloging Center (see http://olcc.nlc.gov.cn)
5,Product identifier type,Тип ідентифікатора продукту,29,JP Magazine ID,,"Japanese magazine identifier, similar in scope to ISSN but identifying a specific issue of a serial publication. Five digits to identify the periodical, plus a hyphen and two digits to identify the issue"
5,Product identifier type,Тип ідентифікатора продукту,30,UPC-12+5,,"Used only with comic books and other products which use the UPC extension to identify individual issues or products. Do not use where the UPC-12 itself identifies the specific product, irrespective of any 5-digit extension – use code 04 instead"
5,Product identifier type,Тип ідентифікатора продукту,31,BNF Control number,,Numéro de la notice bibliographique BNF
5,Product identifier type,Тип ідентифікатора продукту,34,ISSN-13,,"International Standard Serial Number expressed as a GTIN-13, with optional 2- or 5-digit barcode extension (ie 13, 15 or 18 digits starting 977, without spaces or hyphens, with <BarcodeType> codes 02, 12 or 05), and only when the extended ISSN is used specifically as a product identifier (ie when the two publisher-defined ‘variant’ digits within the ISSN-13 itself and/or the 2- or 5-digit barcode extension are used to identify a single issue of a serial publication for separate sale). Only for use in ONIX 3.0 or later"
5,Product identifier type,Тип ідентифікатора продукту,35,ARK,,"Archival Resource Key, as a URL (including the address of the ARK resolver provided by eg a national library)"
9,Product classification type,Тип класифікації продукту,01,WCO Harmonized System,,"World Customs Organization Harmonized Commodity Coding and Description System, the basis of most other commodity code schemes. Use 6 digits, without punctuation. See https://www.wcoomd.org/en/topics/nomenclature/instrument-and-tools/hs-nomenclature-2022-edition.aspx and https://www.wcotradetools.org/en/harmonized-system"
9,Product classification type,Тип класифікації продукту,02,UNSPSC,,"UN Standard Product and Service Classification, including national versions adopted without any additions or changes to the codes or their meaning. Use 8 (or occasionally 10) digits, without punctuation"
9,Product classification type,Тип класифікації продукту,03,HMRC,,"UK Revenue and Customs classifications, based on the Harmonized System (8 or 10 digits, without punctuation, for exports from and imports into the UK respectively). See https://www.gov.uk/trade-tariff"
9,Product classification type,Тип класифікації продукту,04,Warenverzeichnis für die Außenhandelsstatistik,,"German export trade classification, based on the Harmonised System"
9,Product classification type,Тип класифікації продукту,05,TARIC,,"EU TARIC codes, an extended version of the Harmonized System primarily for imports into the EU. Use 10 digits (very occasionally 11), without punctuation. See https://taxation-customs.ec.europa.eu/customs-4/calculation-customs-duties/customs-tariff/eu-customs-tariff-taric_en"
9,Product classification type,Тип класифікації продукту,06,Fondsgroep,,Centraal Boekhuis free classification field for publishers
9,Product classification type,Тип класифікації продукту,07,Sender’s product category,,A product category (not a subject classification) assigned by the sender
9,Product classification type,Тип класифікації продукту,08,GAPP Product Class,,Product classification maintained by the Chinese General Administration of Press and Publication (http://www.gapp.gov.cn)
9,Product classification type,Тип класифікації продукту,09,CPA,,"Statistical Classification of Products by Activity in the European Economic Community, see http://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=LST_NOM_DTL&StrNom=CPA_2008. Use 6 digits, without punctuation. For example, printed children’s books are ‘58.11.13’, but the periods are normally ommited in ONIX"
9,Product classification type,Тип класифікації продукту,10,NCM,,"Mercosur/Mercosul Common Nomenclature, based on the Harmonised System. Use 8 digits, without punctuation"
9,Product classification type,Тип класифікації продукту,11,CPV,,"Common Procurement Vocabulary (2008), used to describe products and services for public tendering and procurement within the EU. Code is a nine digit number (including the check digit), and may also include a space plus an alphanumeric code of two letters and three digits (including the supplementary check digit) from the Supplementary Vocabulary. See https://simap.ted.europa.eu/web/simap/cpv"
9,Product classification type,Тип класифікації продукту,12,PKWiU,,"Polish Classification of Products and Services (2015). Use a single letter followed by 2 to 7 digits, without punctuation. Only for use in ONIX 3.0 or later"
9,Product classification type,Тип класифікації продукту,13,HTSUS,,"US HTS (or HTSA) commodity codes for import of goods into USA (10 digits including the ‘statistical suffix’, and without punctuation). Only for use in ONIX 3.0 or later. See https://hts.usitc.gov/current"
9,Product classification type,Тип класифікації продукту,14,US Schedule B,,"US Schedule B commodity codes for export from USA (10 digits, without punctuation). Only for use in ONIX 3.0 or later. See http://uscensus.prod.3ceonline.com"
9,Product classification type,Тип класифікації продукту,15,Clave SAT,,"Mexican SAT classification, based on UN SPSC with later modifications (8 digits, without punctuation). Only for use in ONIX 3.0 or later. See https://www.sat.gob.mx/consultas/53693/catalogo-de-productos-y-servicios"
9,Product classification type,Тип класифікації продукту,16,CN (EU Combined Nomenclature),,"EU Combined Nomenclature commodity codes, an extended version of the Harmonized System primarily for exports from the EU. Use 8 digits, without punctuation. Only for use in ONIX 3.0 or later. See https://trade.ec.europa.eu/access-to-markets/en/content/combined-nomenclature-0"
9,Product classification type,Тип класифікації продукту,17,CCT,,"Canadian Customs Tariff scheme, 8 or 10 digits for imports into and exports from Canada. Only for use in ONIX 3.0 or later. See https://www.cbsa-asfc.gc.ca/trade-commerce/tariff-tarif/menu-eng.html"
9,Product classification type,Тип класифікації продукту,18,CACT,,Australian ‘Working tariff’. Combined Australian Customs Tariff Nomenclature and Statistical Classification. Only for use in ONIX 3.0 or later. See https://www.abf.gov.au/importing-exporting-and-manufacturing/tariff-classification
9,Product classification type,Тип класифікації продукту,19,NICO,,"Mexican Número de Identificación Comercial, 10 digits for imports into and exports from Mexico. Only for use in ONIX 3.0 or later. See https://www.snice.gob.mx/cs/avi/snice/nico.ligie.html"
9,Product classification type,Тип класифікації продукту,20,TARIC additional code,,"EU TARIC Document codes, 4 alphanumeric characters (usually 1 letter, 3 digits), eg Y129 (for goods outside the scope of EUDR). Only for use in ONIX 3.0 or later"
9,Product classification type,Тип класифікації продукту,21,HTSUS additional code,,"HTSUS code for special classification provisions, or temporary legislation and restrictions, particularly from HTSUS chapters 98 and 99 (8 digits, or 10 where a statistical suffix is appropriate), and without punctuation). Only for use in ONIX 3.0 or later. See https://hts.usitc.gov/current"
9,Product classification type,Тип класифікації продукту,22,CPPAP,,"Commission paritaire des publications et agences de presse, identifier used in France (mostly for serial publications). 10 characters (4 digits, one letter, then five digits). The initial four digits indicate the month and year of expiry of the CPPAP registration. Only for use in ONIX 3.0 or later"
9,Product classification type,Тип класифікації продукту,50,Electre genre,,Typologie de marché géré par Electre (Market segment code maintained by Electre)
12,Trade category,,01,UK open market edition,,An edition from a UK publisher sold only in territories where exclusive rights are not held. Rights details should be carried in PR.21 (in ONIX 2.1) OR P.21 (in ONIX 3.0 or later) as usual
12,Trade category,,02,Airport edition,,"In UK, an edition intended primarily for airside sales in UK airports, though it may be available for sale in other territories where exclusive rights are not held. Rights details should be carried in PR.21 (in ONIX 2.1) OR P.21 (in ONIX 3.0 or later) as usual"
12,Trade category,,03,Sonderausgabe,,"In Germany, a special printing sold at a lower price than the regular hardback"
12,Trade category,,04,Pocket book,,"In countries where recognized as a distinct trade category, eg France « livre de poche », Germany ,Taschenbuch‘, Italy «tascabile», Spain «libro de bolsillo»"
12,Trade category,,05,International edition (US),,Edition produced solely for sale in designated export markets
12,Trade category,,06,Library audio edition,,Audio product sold in special durable packaging and with a replacement guarantee for the contained cassettes or CDs for a specified shelf-life
12,Trade category,,07,US open market edition,,An edition from a US publisher sold only in territories where exclusive rights are not held. Rights details should be carried in PR.21 (in ONIX 2.1) OR P.21 (in ONIX 3.0 or later) as usual
12,Trade category,,08,"Livre scolaire, déclaré par l’éditeur",,"In France, a category of book that has a particular legal status, claimed by the publisher"
12,Trade category,,09,Livre scolaire (non spécifié),,"In France, a category of book that has a particular legal status, designated independently of the publisher"
12,Trade category,,10,Supplement to newspaper,,Edition published for sale only with a newspaper or periodical
12,Trade category,,11,Precio libre textbook,,"In Spain, a school textbook for which there is no fixed or suggested retail price and which is supplied by the publisher on terms individually agreed with the bookseller"
12,Trade category,,12,News outlet edition,,For editions sold only through newsstands/newsagents
12,Trade category,,13,US textbook,,"In the US and Canada, a book that is published primarily for use by students in school or college education as a basis for study. Textbooks published for the elementary and secondary school markets are generally purchased by school districts for the use of students. Textbooks published for the higher education market are generally adopted for use in particular classes by the instructors of those classes. Textbooks are usually not marketed to the general public, which distinguishes them from trade books. Note that trade books adopted for course use are not considered to be textbooks (though a specific education edition of a trade title may be)"
12,Trade category,,14,E-book short,,"‘Short’ e-book (sometimes also called a ‘single’), typically containing a single short story, an essay or piece of long-form journalism"
12,Trade category,,15,Superpocket book,,"In countries where recognized as a distinct trade category, eg Italy «supertascabile». Only for use in ONIX 3.0 or later"
12,Trade category,,16,Beau-livre,,"Category of books, usually hardcover and of a large format (A4 or larger) and printed on high-quality paper, where the primary features are illustrations, and these are more important than text. Sometimes called ‘coffee-table books’ or ‘art books’ in English. Only for use in ONIX 3.0 or later"
12,Trade category,,17,Podcast,,Category of audio products typically distinguished by being free of charge (but which may be monetized through advertising content) and episodic. Only for use in ONIX 3.0 or later
12,Trade category,,18,Periodical,,"Category of books or e-books which are single issues of a periodical publication, sold as independent products. Only for use in ONIX 3.0 or later"
12,Trade category,,19,Catalog,,Publisher’s or supplier’s catalog (when treated as a product in its own right). Only for use in ONIX 3.0 or later
12,Trade category,,20,Atlas,,"Category of books containing a linked group of plates, tables, diagrams, lists, often but not always combined with maps or a geographical theme or approach. Only for use in ONIX 3.0 or later"
12,Trade category,,21,Newspaper,,Daily or weekly. Only for use in ONIX 3.0 or later
13,Collection identifier type,,01,Proprietary collection ID scheme,,"For example, publisher’s own series ID scheme. Note that a distinctive <IDTypeName> is required with proprietary identifiers"
13,Collection identifier type,,02,ISSN,,"International Standard Serial Number, unhyphenated, 8 digits"
13,Collection identifier type,,03,German National Bibliography series ID,,Maintained by the Deutsche Nationalbibliothek
13,Collection identifier type,,04,German Books in Print series ID,,Maintained by VLB
13,Collection identifier type,,05,Electre series ID,,"Maintained by Electre Information, France"
13,Collection identifier type,,06,DOI,DOI,"Digital Object Identifier (variable length and character set, beginning ‘10.’ and without https://doi.org/ or the older http://dx.doi.org/)"
13,Collection identifier type,,15,ISBN-13,ISBN-13,Use only where the collection (series or set) is available as a single product
13,Collection identifier type,,22,URN,URN,"Uniform Resource Name using full URN syntax, eg urn:issn:1476-4687 – though where a specific code for the identifier type is available, use of that code (ie code 02 for ISSN) is preferred"
13,Collection identifier type,,27,JP Magazine ID,,"Japanese magazine identifier, similar in scope to ISSN. Five digits to identify the periodical, without any hyphen or two digit extension. Only for use in ONIX 3.0 or later"
13,Collection identifier type,,29,BNF Control number,,French National Bibliography series ID. Identifiant des publications en série maintenu par la Bibliothèque Nationale de France
13,Collection identifier type,,35,ARK,,"Archival Resource Key, as a URL (including the address of the ARK resolver provided by eg a national library)"
13,Collection identifier type,,38,ISSN-L,,"International Standard Serial Number ‘linking ISSN’, used when distinct from the serial ISSN. Unhyphenated, 8 digits. Only for use in ONIX 3.0 or later"
14,Text case flag,Прапорець регістру тексту,00,Undefined,Не визначено,Default
14,Text case flag,Прапорець регістру тексту,01,Sentence case,,"Initial capitals on first word and subsequently on proper names only, eg ‘The conquest of Mexico’"
14,Text case flag,Прапорець регістру тексту,02,Title case,,"Initial capitals on first word and subsequently on all significant words (nouns, pronouns, adjectives, verbs, adverbs, subordinate conjunctions) thereafter. Unless they appear as the first word, articles, prepositions and coordinating conjunctions remain lower case, eg ‘The Conquest of Mexico’"
14,Text case flag,Прапорець регістру тексту,03,All capitals,,"For example, ‘THE CONQUEST OF MEXICO’. Use only when Sentence or Title case are not possible (for example because of system limitations). Do NOT use simply because title is (correctly) in all caps (eg ‘BBQ USA’)"
15,Title type,Тип назви,00,Undefined,Не визначено,
15,Title type,Тип назви,01,"Distinctive title (book); Cover title (serial); Title of content item, collection, or resource","Відмінна назва (книги); Назва на обкладинці (періодичне видання); Назва елемента контенту, колекції або ресурсу","The full text of the distinctive title of the item, without abbreviation or abridgement. For books, generally taken from the title page (see codes 11–15 where an alternative title is provided on cover or spine). Where the item is an omnibus edition containing two or more works by the same author, and there is no separate combined title, a distinctive title may be constructed (by the sender) by concatenating the individual titles, with suitable punctuation, as in ‘Pride and prejudice / Sense and sensibility / Northanger Abbey’. Where the title alone is not distinctive, recipients may add elements taken from a collection title and part number etc to create a distinctive title – but these elements should be provided separately by the sender"
15,Title type,Тип назви,02,ISSN key title of serial,Ключова назва ISSN періодичного видання,Serials only
15,Title type,Тип назви,03,Title in original language,Назва мовою оригіналу,Where the subject of the ONIX record is a translated item
15,Title type,Тип назви,04,Title acronym or initialism,Акронім або абревіатура назви,"For serials: an acronym or initialism of Title Type 01, eg ‘JAMA’, ‘JACM’"
15,Title type,Тип назви,05,Abbreviated title,Скорочена назва,An abbreviated form of Title Type 01
15,Title type,Тип назви,06,Title in other language,Назва іншою мовою,"A translation of Title Type 01 or 03, or an independent title, used when the work is translated into another language, sometimes termed a ‘parallel title’"
15,Title type,Тип назви,07,Thematic title of journal issue,Тематична назва випуску журналу,Serials only: when a journal issue is explicitly devoted to a specified topic
15,Title type,Тип назви,08,Former title,Попередня назва,Books or serials: when an item was previously published under another title
15,Title type,Тип назви,10,Distributor’s title,,"For books: the title carried in a book distributor’s title file: frequently incomplete, and may include elements not properly part of the title. Usually limited in length and character set (eg to about 30 ASCII characters) for use on other e-commerce documentation"
15,Title type,Тип назви,11,Alternative title on cover,Альтернативна назва на обкладинці,An alternative title that appears on the cover of a book
15,Title type,Тип назви,12,Alternative title on back,Альтернативна назва на звороті,An alternative title that appears on the back of a book
15,Title type,Тип назви,13,Expanded title,Розширена назва,"An expanded form of the title, eg the title of a school text book with grade and type and other details added to make the title meaningful, where otherwise it would comprise only the curriculum subject. This title type is required for submissions to the Spanish ISBN Agency"
15,Title type,Тип назви,14,Alternative title,Альтернативна назва,"An alternative title that the book is widely known by, whether it appears on the book or not (including a title used in another market – but see code 06 for translations – or a working title previously used in metadata but replaced before publication)"
15,Title type,Тип назви,15,Alternative title on spine,Альтернативна назва на корінці,An alternative title that appears on the spine of a book. Only for use in ONIX 3.0 or later
15,Title type,Тип назви,16,Translated from title,Перекладено з назви,"Where the subject of the ONIX record is a translated item, but has been translated via some intermediate language. Title type 16 is distinct from title type 03. Only for use in ONIX 3.0 or later"
16,Work identifier type,,01,Proprietary work ID scheme,,"For example, a publisher’s own work ID scheme. Note that a distinctive <IDTypeName> is required with proprietary identifiers"
16,Work identifier type,,02,ISBN-10,ISBN-10,"10-character ISBN of manifestation of work, when this is the only work identifier available – now Deprecated in ONIX for Books, except where providing historical information for compatibility with legacy systems. It should only be used in relation to products published before 2007 – when ISBN-13 superseded it – and should never be used as the ONLY identifier (it should always be accompanied by the correct GTIN-13 / ISBN-13 of the manifestation of the work)"
16,Work identifier type,,06,DOI,DOI,"Digital Object Identifier (variable length and character set, beginning ‘10.’ and without https://doi.org/ or the older http://dx.doi.org/)"
16,Work identifier type,,11,ISTC,,"International Standard Text Code (16 characters: numerals and letters A–F, unhyphenated). Deprecated: the ISTC was withdrawn as a standard in 2021"
16,Work identifier type,,15,ISBN-13,ISBN-13,"13-character ISBN of a manifestation of work, when this is the only work identifier available (13 digits, without spaces or hyphens)"
16,Work identifier type,,18,ISRC,,International Standard Recording Code
16,Work identifier type,,31,EIDR Content ID,,"Entertainment Identifier Registry identifier for an audiovisual work, eg a movie, TV series (a DOI beginning ‘10.5240/’ with a suffix of 21 hexadecimal digits and five hyphens, and without https://doi.org/ or the older http://dx.doi.org/). See ui.eidr.org/search. Only for use in ONIX 3.0 or later"
16,Work identifier type,,32,GLIMIR,,"Global Library Manifestation Identifier, OCLC’s ‘manifestation cluster’ ID"
16,Work identifier type,,33,OWI,,OCLC Work Identifier
16,Work identifier type,,39,ISCC,,"International Standard Content Code, a ‘similarity hash’ derived algorithmically from the content itself (see https://iscc.codes). <IDValue> is a sequence comprising the Meta-Code and Content-Code ISCC-UNITSs generated from a digital manifestation of the work, as a variable-length case-insensitive alphanumeric string (or 27 characters including one hyphen if using ISCC v1.0, but this is deprecated). Note alphabetic characters in v1.x ISCCs use Base32 encoding and are conventionally upper case. The ‘ISCC:’ prefix is omitted. Only for use in ONIX 3.0 or later"
17,Contributor role code,Код ролі учасника,A01,By (author),Автор,Author of a textual work
17,Contributor role code,Код ролі учасника,A02,With,У співавторстві з,"With or as told to: ‘ghost’ or secondary author of a literary work (for clarity, should not be used for true ‘ghost’ authors who are not credited on the book and whose existence is secret)"
17,Contributor role code,Код ролі учасника,A03,Screenplay by,Сценарій,Writer of screenplay or script (film or video)
17,Contributor role code,Код ролі учасника,A04,Libretto by,Лібрето,Writer of libretto (opera): see also A31
17,Contributor role code,Код ролі учасника,A05,Lyrics by,Текст пісень,Author of lyrics (song): see also A31
17,Contributor role code,Код ролі учасника,A06,By (composer),Композитор,Composer of music
17,Contributor role code,Код ролі учасника,A07,By (artist),Художник,"Visual artist when named as the primary creator of, eg, a book of reproductions of artworks"
17,Contributor role code,Код ролі учасника,A08,By (photographer),Фотограф,"Photographer when named as the primary creator of, eg, a book of photographs"
17,Contributor role code,Код ролі учасника,A09,Created by,Створено,"For example of an editorial concept, of a board game, etc"
17,Contributor role code,Код ролі учасника,A10,From an idea by,За ідеєю,For example of a plot idea. Implies a less direct association or active participation than ‘created by’
17,Contributor role code,Код ролі учасника,A11,Designed by,Дизайн,"Use for interior graphic design. See code A36 for cover design, code A12, A35 for interior illustrations or drawings"
17,Contributor role code,Код ролі учасника,A12,Illustrated by,Ілюстрації,"Artist when named as the creator of artwork which illustrates a text, or the originator (sometimes ‘penciller’ for collaborative art) of the artwork of a graphic novel or comic book"
17,Contributor role code,Код ролі учасника,A13,Photographs by,Фотографії,Photographer when named as the creator of photographs which illustrate a text
17,Contributor role code,Код ролі учасника,A14,Text by,Текст,"Author of text which accompanies art reproductions or photographs, or which is part of a graphic novel or comic book"
17,Contributor role code,Код ролі учасника,A15,Preface by,Передмова,Author of preface
17,Contributor role code,Код ролі учасника,A16,Prologue by,Пролог,Author of prologue
17,Contributor role code,Код ролі учасника,A17,Summary by,Анотація,Author of summary
17,Contributor role code,Код ролі учасника,A18,Supplement by,Додаток,Author of supplement
17,Contributor role code,Код ролі учасника,A19,Afterword by,Післямова,Author of afterword
17,Contributor role code,Код ролі учасника,A20,Notes by,Примітки,Author of notes or annotations: see also A29
17,Contributor role code,Код ролі учасника,A21,Commentaries by,Коментарі,Author of commentaries on the main text
17,Contributor role code,Код ролі учасника,A22,Epilogue by,Епілог,Author of epilogue
17,Contributor role code,Код ролі учасника,A23,Foreword by,Вступне слово,Author of foreword
17,Contributor role code,Код ролі учасника,A24,Introduction by,Вступ,Author of introduction: see also A29
17,Contributor role code,Код ролі учасника,A25,Footnotes by,Виноски,Author/compiler of footnotes
17,Contributor role code,Код ролі учасника,A26,Memoir by,Мемуари,Author of memoir accompanying main text
17,Contributor role code,Код ролі учасника,A27,Experiments by,Експерименти,Person who carried out experiments reported in the text
17,Contributor role code,Код ролі учасника,A28,Interpreted through,,"Use with narratives drawn from an oral tradition, where no ‘ownership’ of the narrative is claimed. See also B33. Only for use in ONIX 3.0 or later"
17,Contributor role code,Код ролі учасника,A29,Introduction and notes by,,Author of introduction and notes: see also A20 and A24
17,Contributor role code,Код ролі учасника,A30,Software written by,,Writer of computer programs ancillary to the text
17,Contributor role code,Код ролі учасника,A31,Book and lyrics by,,Author of the textual content of a musical drama: see also A04 and A05
17,Contributor role code,Код ролі учасника,A32,Contributions by,,Author of additional contributions to the text
